n,m1,tipoCurto,Raf1,Rbf1,Rcf1,Raf2,Rbf2,Rcf2,IA_T2F,IB_T2F,IC_T2F
1,0.001,1,1e-05,1e-05,1e-05,Inf,Inf,Inf,47.6383,45.0846,45.727
2,0.001,2,1e-05,Inf,1e-05,Inf,Inf,Inf,37.7451,4.84264,41.9459
3,0.001,3,Inf,1e-05,1e-05,Inf,Inf,Inf,7.93058,43.1807,36.4317
4,0.001,4,1e-05,1e-05,Inf,Inf,Inf,Inf,43.7213,37.07,7.64049
5,0.001,5,Inf,Inf,Inf,Inf,Inf,Inf,7.6553,4.9699,7.9388
6,0.001,6,Inf,Inf,Inf,1e-05,1e-05,1e-05,37.435,4.8566,41.6393
7,0.001,7,Inf,Inf,Inf,1e-05,Inf,1e-05,37.3983,4.85674,41.5998
8,0.001,8,Inf,Inf,Inf,Inf,1e-05,1e-05,37.3983,4.85674,41.5998
9,0.001,9,Inf,Inf,Inf,1e-05,1e-05,Inf,7.6553,4.9699,7.9388
10,0.001,10,Inf,Inf,Inf,Inf,Inf,Inf,7.6553,4.9699,7.9388
11,0.1,1,1e-05,1e-05,1e-05,Inf,Inf,Inf,47.5963,45.0696,45.7037
12,0.1,2,1e-05,Inf,1e-05,Inf,Inf,Inf,37.7225,4.844,41.9238
13,0.1,3,Inf,1e-05,1e-05,Inf,Inf,Inf,7.92835,43.1573,36.4122
14,0.1,4,1e-05,1e-05,Inf,Inf,Inf,Inf,43.6933,37.0452,7.64055
15,0.1,5,Inf,Inf,Inf,Inf,Inf,Inf,7.6553,4.96992,7.93876
16,0.1,6,Inf,Inf,Inf,1e-05,1e-05,1e-05,37.435,4.8566,41.6393
17,0.1,7,Inf,Inf,Inf,1e-05,Inf,1e-05,37.3983,4.85674,41.5998
18,0.1,8,Inf,Inf,Inf,Inf,1e-05,1e-05,37.3983,4.85674,41.5998
19,0.1,9,Inf,Inf,Inf,1e-05,1e-05,Inf,7.6553,4.96992,7.93876
20,0.1,10,Inf,Inf,Inf,Inf,Inf,Inf,7.6553,4.96992,7.93876
21,0.2,1,1e-05,1e-05,1e-05,Inf,Inf,Inf,47.5538,45.0543,45.6802
22,0.2,2,1e-05,Inf,1e-05,Inf,Inf,Inf,37.6997,4.84538,41.9016
23,0.2,3,Inf,1e-05,1e-05,Inf,Inf,Inf,7.92609,43.1336,36.3924
24,0.2,4,1e-05,1e-05,Inf,Inf,Inf,Inf,43.6649,37.02,7.64061
25,0.2,5,Inf,Inf,Inf,Inf,Inf,Inf,7.6553,4.96992,7.93876
26,0.2,6,Inf,Inf,Inf,1e-05,1e-05,1e-05,37.435,4.8566,41.6393
27,0.2,7,Inf,Inf,Inf,1e-05,Inf,1e-05,37.3983,4.85674,41.5998
28,0.2,8,Inf,Inf,Inf,Inf,1e-05,1e-05,37.3983,4.85674,41.5998
29,0.2,9,Inf,Inf,Inf,1e-05,1e-05,Inf,7.6553,4.96992,7.93876
30,0.2,10,Inf,Inf,Inf,Inf,Inf,Inf,7.6553,4.96992,7.93876
31,0.3,1,1e-05,1e-05,1e-05,Inf,Inf,Inf,47.5114,45.039,45.6567
32,0.3,2,1e-05,Inf,1e-05,Inf,Inf,Inf,37.677,4.84675,41.8794
33,0.3,3,Inf,1e-05,1e-05,Inf,Inf,Inf,7.92384,43.11,36.3727
34,0.3,4,1e-05,1e-05,Inf,Inf,Inf,Inf,43.6366,36.9949,7.64068
35,0.3,5,Inf,Inf,Inf,Inf,Inf,Inf,7.6553,4.96992,7.93876
36,0.3,6,Inf,Inf,Inf,1e-05,1e-05,1e-05,37.435,4.8566,41.6393
37,0.3,7,Inf,Inf,Inf,1e-05,Inf,1e-05,37.3983,4.85674,41.5998
38,0.3,8,Inf,Inf,Inf,Inf,1e-05,1e-05,37.3983,4.85674,41.5998
39,0.3,9,Inf,Inf,Inf,1e-05,1e-05,Inf,7.6553,4.96992,7.93876
40,0.3,10,Inf,Inf,Inf,Inf,Inf,Inf,7.6553,4.96992,7.93876
41,0.4,1,1e-05,1e-05,1e-05,Inf,Inf,Inf,47.469,45.0237,45.6332
42,0.4,2,1e-05,Inf,1e-05,Inf,Inf,Inf,37.6542,4.84812,41.8572
43,0.4,3,Inf,1e-05,1e-05,Inf,Inf,Inf,7.9216,43.0864,36.353
44,0.4,4,1e-05,1e-05,Inf,Inf,Inf,Inf,43.6082,36.9697,7.64074
45,0.4,5,Inf,Inf,Inf,Inf,Inf,Inf,7.6553,4.96992,7.93876
46,0.4,6,Inf,Inf,Inf,1e-05,1e-05,1e-05,37.435,4.8566,41.6393
47,0.4,7,Inf,Inf,Inf,1e-05,Inf,1e-05,37.3983,4.85674,41.5998
48,0.4,8,Inf,Inf,Inf,Inf,1e-05,1e-05,37.3983,4.85674,41.5998
