n,m1,tipoCurto,I_A_Isolador,Tempo_A_Isolador,Tempo_Abertura_A_Isolador,I_B_Isolador,Tempo_B_Isolador,Tempo_Abertura_B_Isolador,I_C_Isolador,Tempo_C_Isolador,Tempo_Abertura_C_Isolador,I_A1_Isolador,Tempo_A1_Isolador,Tempo_Abertura_A1_Isolador,I_B1_Isolador,Tempo_B1_Isolador,Tempo_Abertura_B1_Isolador,I_A1_Consumidor,Tempo_A1_Consumidor,Tempo_Abertura_A1_Consumidor,I_B1_Consumidor,Tempo_B1_Consumidor,Tempo_Abertura_B1_Consumidor,I_A2_Consumidor,Tempo_A2_Consumidor,Tempo_Abertura_A2_Consumidor,I_B2_Consumidor,Tempo_B2_Consumidor,Tempo_Abertura_B2_Consumidor,IA_Sistema,IB_Sistema,IC_Sistema
1,0.001,1,40.124,Inf,Inf,36.0463,Inf,Inf,41.2626,0.503655,0.591,42.1336,0.455079,0.543,37.0402,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0.0206708,0.082638,0.0619673
2,0.001,2,15.9561,Inf,Inf,23.0377,Inf,Inf,38.7815,0.585385,0.673,31.5513,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,1.87366,3.75766,1.884
3,0.001,3,23.1627,Inf,Inf,38.8125,0.584247,0.672,15.8627,Inf,Inf,0,Inf,Inf,35.7501,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0.65892,0.319126,0.339794
4,0.001,4,40.124,0.538961,0.626,16.343,Inf,Inf,23.9068,Inf,Inf,36.9497,Inf,Inf,32.5705,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,2.19402,2.20436,4.39837
5,0.001,5,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0.64853,3.7498,4.3984
6,0.001,6,39.9158,Inf,Inf,35.992,Inf,Inf,40.9968,0.511591,0.599,41.8433,0.462966,0.55,36.9534,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0.0206704,0.0826753,0.0620048
7,0.001,7,15.8696,Inf,Inf,22.9545,Inf,Inf,38.6087,0.591775,0.679,31.4009,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,1.87365,3.75766,1.88401
8,0.001,8,23.0669,Inf,Inf,38.6426,0.590515,0.678,15.7914,Inf,Inf,0,Inf,Inf,35.5963,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0.658923,0.319102,0.33982
9,0.001,9,39.9158,0.545801,0.633,16.2524,Inf,Inf,23.7941,Inf,Inf,36.7638,Inf,Inf,32.3968,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,2.19401,2.20436,4.39837
10,0.001,10,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0.64853,3.7498,4.3984
11,0.1,1,40.1107,Inf,Inf,36.0428,Inf,Inf,41.2455,0.504159,0.592,42.1151,0.455578,0.543,37.0347,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0.0206707,0.082638,0.0619673
12,0.1,2,15.9504,Inf,Inf,23.0325,Inf,Inf,38.7703,0.585793,0.673,31.5416,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,1.87366,3.75766,1.88401
13,0.1,3,23.1564,Inf,Inf,38.8016,0.584647,0.672,15.8582,Inf,Inf,0,Inf,Inf,35.7402,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0.65892,0.319126,0.339794
14,0.1,4,40.1107,0.539393,0.627,16.3373,Inf,Inf,23.8997,Inf,Inf,36.9379,Inf,Inf,32.5594,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,2.19402,2.20436,4.39837
