n,m1,tipoCurto,Raf1,Rbf1,Rcf1,Raf2,Rbf2,RcF2,IA_Sistema,IB_Sistema,IC_Sistema
1,0.001,1,1e-05,1e-05,1e-05,Inf,Inf,Inf,39.3012,10.5193,28.782
2,0.001,2,1e-05,Inf,1e-05,Inf,Inf,Inf,31.721,3.69378,35.4147
3,0.001,3,Inf,1e-05,1e-05,Inf,Inf,Inf,0.64972,9.0076,9.6574
4,0.001,4,1e-05,1e-05,Inf,Inf,Inf,Inf,27.1095,22.711,4.39842
5,0.001,5,Inf,Inf,Inf,Inf,Inf,Inf,0.64854,3.7499,4.3984
6,0.001,6,Inf,Inf,Inf,1e-05,1e-05,1e-05,38.9769,10.2607,28.7162
7,0.001,7,Inf,Inf,Inf,1e-05,Inf,40,31.1818,3.70078,34.8826
8,0.001,8,Inf,Inf,Inf,Inf,1e-05,1e-05,0.65056,9.0732,9.7238
9,0.001,9,Inf,Inf,Inf,1e-05,1e-05,Inf,26.818,22.4196,4.39842
10,0.001,10,Inf,Inf,Inf,Inf,Inf,Inf,0.64854,3.7499,4.3984
11,0.1,1,1e-05,1e-05,1e-05,Inf,Inf,Inf,39.2805,10.5027,28.7778
12,0.1,2,1e-05,Inf,1e-05,Inf,Inf,Inf,31.7128,3.69438,35.4072
13,0.1,3,Inf,1e-05,1e-05,Inf,Inf,Inf,0.649789,9.01198,9.66177
14,0.1,4,1e-05,1e-05,Inf,Inf,Inf,Inf,27.0908,22.6924,4.39842
15,0.1,5,Inf,Inf,Inf,Inf,Inf,Inf,0.64854,3.74988,4.39842
16,0.1,6,Inf,Inf,Inf,1e-05,1e-05,1e-05,38.9769,10.2607,28.7162
17,0.1,7,Inf,Inf,Inf,1e-05,Inf,40,31.1818,3.70078,34.8826
18,0.1,8,Inf,Inf,Inf,Inf,1e-05,1e-05,0.650556,9.07319,9.72375
19,0.1,9,Inf,Inf,Inf,1e-05,1e-05,Inf,26.818,22.4196,4.39842
20,0.1,10,Inf,Inf,Inf,Inf,Inf,Inf,0.64854,3.74988,4.39842
21,0.2,1,1e-05,1e-05,1e-05,Inf,Inf,Inf,39.2596,10.486,28.7736
22,0.2,2,1e-05,Inf,1e-05,Inf,Inf,Inf,31.7046,3.695,35.3996
23,0.2,3,Inf,1e-05,1e-05,Inf,Inf,Inf,0.649861,9.01636,9.66622
24,0.2,4,1e-05,1e-05,Inf,Inf,Inf,Inf,27.072,22.6736,4.39842
25,0.2,5,Inf,Inf,Inf,Inf,Inf,Inf,0.64854,3.74988,4.39842
26,0.2,6,Inf,Inf,Inf,1e-05,1e-05,1e-05,38.9769,10.2607,28.7162
27,0.2,7,Inf,Inf,Inf,1e-05,Inf,40,31.1818,3.70078,34.8826
28,0.2,8,Inf,Inf,Inf,Inf,1e-05,1e-05,0.650556,9.07319,9.72375
