n,m1,tipoCurto,Raf1,Rbf1,Rcf1,Raf2,Rbf2,RcF2,IA_Sistema,IB_Sistema,IC_Sistema
29,0.2,9,Inf,Inf,Inf,1e-05,1e-05,Inf,26.818,22.4196,4.39842
30,0.2,10,Inf,Inf,Inf,Inf,Inf,Inf,0.64854,3.74988,4.39842
31,0.3,1,1e-05,1e-05,1e-05,Inf,Inf,Inf,39.2387,10.4693,28.7693
32,0.3,2,1e-05,Inf,1e-05,Inf,Inf,Inf,31.6963,3.69561,35.3919
33,0.3,3,Inf,1e-05,1e-05,Inf,Inf,Inf,0.649932,9.02073,9.67066
34,0.3,4,1e-05,1e-05,Inf,Inf,Inf,Inf,27.0532,22.6548,4.39842
35,0.3,5,Inf,Inf,Inf,Inf,Inf,Inf,0.64854,3.74988,4.39842
36,0.3,6,Inf,Inf,Inf,1e-05,1e-05,1e-05,38.9769,10.2607,28.7162
37,0.3,7,Inf,Inf,Inf,1e-05,Inf,40,31.1818,3.70078,34.8826
38,0.3,8,Inf,Inf,Inf,Inf,1e-05,1e-05,0.650556,9.07319,9.72375
39,0.3,9,Inf,Inf,Inf,1e-05,1e-05,Inf,26.818,22.4196,4.39842
40,0.3,10,Inf,Inf,Inf,Inf,Inf,Inf,0.64854,3.74988,4.39842
41,0.4,1,1e-05,1e-05,1e-05,Inf,Inf,Inf,39.2177,10.4527,28.7651
42,0.4,2,1e-05,Inf,1e-05,Inf,Inf,Inf,31.6881,3.69622,35.3843
43,0.4,3,Inf,1e-05,1e-05,Inf,Inf,Inf,0.650005,9.02509,9.6751
44,0.4,4,1e-05,1e-05,Inf,Inf,Inf,Inf,27.0344,22.636,4.39842
45,0.4,5,Inf,Inf,Inf,Inf,Inf,Inf,0.64854,3.74988,4.39842
46,0.4,6,Inf,Inf,Inf,1e-05,1e-05,1e-05,38.9769,10.2607,28.7162
47,0.4,7,Inf,Inf,Inf,1e-05,Inf,40,31.1818,3.70078,34.8826
48,0.4,8,Inf,Inf,Inf,Inf,1e-05,1e-05,0.650556,9.07319,9.72375
49,0.4,9,Inf,Inf,Inf,1e-05,1e-05,Inf,26.818,22.4196,4.39842
50,0.4,10,Inf,Inf,Inf,Inf,Inf,Inf,0.64854,3.74988,4.39842
51,0.5,1,1e-05,1e-05,1e-05,Inf,Inf,Inf,39.1968,10.436,28.7609
52,0.5,2,1e-05,Inf,1e-05,Inf,Inf,Inf,31.6799,3.69683,35.3767
53,0.5,3,Inf,1e-05,1e-05,Inf,Inf,Inf,0.650077,9.02945,9.67953
54,0.5,4,1e-05,1e-05,Inf,Inf,Inf,Inf,27.0156,22.6172,4.39842
55,0.5,5,Inf,Inf,Inf,Inf,Inf,Inf,0.64854,3.74988,4.39842
56,0.5,6,Inf,Inf,Inf,1e-05,1e-05,1e-05,38.9769,10.2607,28.7162
57,0.5,7,Inf,Inf,Inf,1e-05,Inf,40,31.1818,3.70078,34.8826
58,0.5,8,Inf,Inf,Inf,Inf,1e-05,1e-05,0.650556,9.07319,9.72375
59,0.5,9,Inf,Inf,Inf,1e-05,1e-05,Inf,26.818,22.4196,4.39842
60,0.5,10,Inf,Inf,Inf,Inf,Inf,Inf,0.64854,3.74988,4.39842
61,0.6,1,1e-05,1e-05,1e-05,Inf,Inf,Inf,39.176,10.4193,28.7566
62,0.6,2,1e-05,Inf,1e-05,Inf,Inf,Inf,31.6716,3.69744,35.3691
63,0.6,3,Inf,1e-05,1e-05,Inf,Inf,Inf,0.650149,9.0338,9.68395
64,0.6,4,1e-05,1e-05,Inf,Inf,Inf,Inf,26.9969,22.5984,4.39842
65,0.6,5,Inf,Inf,Inf,Inf,Inf,Inf,0.64854,3.74988,4.39842
66,0.6,6,Inf,Inf,Inf,1e-05,1e-05,1e-05,38.9769,10.2607,28.7162
67,0.6,7,Inf,Inf,Inf,1e-05,Inf,40,31.1818,3.70078,34.8826
68,0.6,8,Inf,Inf,Inf,Inf,1e-05,1e-05,0.650556,9.07319,9.72375
69,0.6,9,Inf,Inf,Inf,1e-05,1e-05,Inf,26.818,22.4196,4.39842
70,0.6,10,Inf,Inf,Inf,Inf,Inf,Inf,0.64854,3.74988,4.39842
71,0.7,1,1e-05,1e-05,1e-05,Inf,Inf,Inf,39.1551,10.4027,28.7524
72,0.7,2,1e-05,Inf,1e-05,Inf,Inf,Inf,31.6634,3.69805,35.3615
73,0.7,3,Inf,1e-05,1e-05,Inf,Inf,Inf,0.650222,9.03814,9.68836
74,0.7,4,1e-05,1e-05,Inf,Inf,Inf,Inf,26.9781,22.5797,4.39842
75,0.7,5,Inf,Inf,Inf,Inf,Inf,Inf,0.64854,3.74988,4.39842
76,0.7,6,Inf,Inf,Inf,1e-05,1e-05,1e-05,38.9769,10.2607,28.7162
77,0.7,7,Inf,Inf,Inf,1e-05,Inf,40,31.1818,3.70078,34.8826
78,0.7,8,Inf,Inf,Inf,Inf,1e-05,1e-05,0.650556,9.07319,9.72375
79,0.7,9,Inf,Inf,Inf,1e-05,1e-05,Inf,26.818,22.4196,4.39842
80,0.7,10,Inf,Inf,Inf,Inf,Inf,Inf,0.64854,3.74988,4.39842
81,0.8,1,1e-05,1e-05,1e-05,Inf,Inf,Inf,39.1342,10.386,28.7482
82,0.8,2,1e-05,Inf,1e-05,Inf,Inf,Inf,31.6552,3.69866,35.3538
83,0.8,3,Inf,1e-05,1e-05,Inf,Inf,Inf,0.650295,9.04248,9.69277
84,0.8,4,1e-05,1e-05,Inf,Inf,Inf,Inf,26.9593,22.5609,4.39842
85,0.8,5,Inf,Inf,Inf,Inf,Inf,Inf,0.64854,3.74988,4.39842
86,0.8,6,Inf,Inf,Inf,1e-05,1e-05,1e-05,38.9769,10.2607,28.7162
87,0.8,7,Inf,Inf,Inf,1e-05,Inf,40,31.1818,3.70078,34.8826
88,0.8,8,Inf,Inf,Inf,Inf,1e-05,1e-05,0.650556,9.07319,9.72375
89,0.8,9,Inf,Inf,Inf,1e-05,1e-05,Inf,26.818,22.4196,4.39842
90,0.8,10,Inf,Inf,Inf,Inf,Inf,Inf,0.64854,3.74988,4.39842
91,0.9,1,1e-05,1e-05,1e-05,Inf,Inf,Inf,39.1134,10.3694,28.7439
92,0.9,2,1e-05,Inf,1e-05,Inf,Inf,Inf,31.647,3.69927,35.3462
93,0.9,3,Inf,1e-05,1e-05,Inf,Inf,Inf,0.650368,9.04681,9.69717
94,0.9,4,1e-05,1e-05,Inf,Inf,Inf,Inf,26.9406,22.5422,4.39842
95,0.9,5,Inf,Inf,Inf,Inf,Inf,Inf,0.64854,3.74988,4.39842
96,0.9,6,Inf,Inf,Inf,1e-05,1e-05,1e-05,38.9769,10.2607,28.7162
97,0.9,7,Inf,Inf,Inf,1e-05,Inf,40,31.1818,3.70078,34.8826
98,0.9,8,Inf,Inf,Inf,Inf,1e-05,1e-05,0.650556,9.07319,9.72375
99,0.9,9,Inf,Inf,Inf,1e-05,1e-05,Inf,26.818,22.4196,4.39842
100,0.9,10,Inf,Inf,Inf,Inf,Inf,Inf,0.64854,3.74988,4.39842
101,0.999,1,1e-05,1e-05,1e-05,Inf,Inf,Inf,39.09272,10.35297,28.73975
102,0.999,2,1e-05,Inf,1e-05,Inf,Inf,Inf,31.63881,3.699876,35.33869
103,0.999,3,Inf,1e-05,1e-05,Inf,Inf,Inf,0.6504411,9.051085,9.701526
104,0.999,4,1e-05,1e-05,Inf,Inf,Inf,Inf,26.92205,22.52363,4.398416
105,0.999,5,Inf,Inf,Inf,Inf,Inf,Inf,0.6485403,3.749876,4.398416
106,0.999,6,Inf,Inf,Inf,1e-05,1e-05,1e-05,38.9769,10.26071,28.7162
107,0.999,7,Inf,Inf,Inf,1e-05,Inf,40,31.18181,3.700776,34.88259
108,0.999,8,Inf,Inf,Inf,Inf,1e-05,1e-05,0.6505563,9.073194,9.72375
109,0.999,9,Inf,Inf,Inf,1e-05,1e-05,Inf,26.81801,22.4196,4.398416
110,0.999,10,Inf,Inf,Inf,Inf,Inf,Inf,0.6485403,3.749876,4.398416
