n,m2,tipoCurto,Raf1,Rbf1,Rcf1,Raf2,Rbf2,Rcf2,IA_T2F,IB_T2F,IC_T2F
68,0.999,8,Inf,Inf,Inf,Inf,1e-05,1e-05,37.4462,4.85657,41.6496
69,0.999,9,Inf,Inf,Inf,1e-05,1e-05,Inf,7.6553,4.96992,7.93876
70,0.999,10,Inf,Inf,Inf,Inf,Inf,Inf,7.6553,4.96992,7.93876
71,0.999,1,1e-05,1e-05,1e-05,Inf,Inf,Inf,47.2156,44.9313,45.4928
72,0.999,2,1e-05,Inf,1e-05,Inf,Inf,Inf,37.5182,4.85631,41.7245
73,0.999,3,Inf,1e-05,1e-05,Inf,Inf,Inf,7.90818,42.9451,36.2352
74,0.999,4,1e-05,1e-05,Inf,Inf,Inf,Inf,43.4383,36.8191,7.64112
75,0.999,5,Inf,Inf,Inf,Inf,Inf,Inf,7.6553,4.96992,7.93876
76,0.999,6,Inf,Inf,Inf,1e-05,1e-05,1e-05,37.4599,4.85651,41.6648
77,0.999,7,Inf,Inf,Inf,1e-05,Inf,1e-05,37.4342,4.85661,41.6372
78,0.999,8,Inf,Inf,Inf,Inf,1e-05,1e-05,37.4342,4.85661,41.6372
79,0.999,9,Inf,Inf,Inf,1e-05,1e-05,Inf,7.6553,4.96992,7.93876
80,0.999,10,Inf,Inf,Inf,Inf,Inf,Inf,7.6553,4.96992,7.93876
81,0.999,1,1e-05,1e-05,1e-05,Inf,Inf,Inf,47.2156,44.9313,45.4928
82,0.999,2,1e-05,Inf,1e-05,Inf,Inf,Inf,37.5182,4.85631,41.7245
83,0.999,3,Inf,1e-05,1e-05,Inf,Inf,Inf,7.90818,42.9451,36.2352
84,0.999,4,1e-05,1e-05,Inf,Inf,Inf,Inf,43.4383,36.8191,7.64112
85,0.999,5,Inf,Inf,Inf,Inf,Inf,Inf,7.6553,4.96992,7.93876
86,0.999,6,Inf,Inf,Inf,1e-05,1e-05,1e-05,37.4516,4.85654,41.6563
87,0.999,7,Inf,Inf,Inf,1e-05,Inf,1e-05,37.4222,4.85666,41.6247
88,0.999,8,Inf,Inf,Inf,Inf,1e-05,1e-05,37.4222,4.85666,41.6247
89,0.999,9,Inf,Inf,Inf,1e-05,1e-05,Inf,7.6553,4.96992,7.93876
90,0.999,10,Inf,Inf,Inf,Inf,Inf,Inf,7.6553,4.96992,7.93876
91,0.999,1,1e-05,1e-05,1e-05,Inf,Inf,Inf,47.2156,44.9313,45.4928
92,0.999,2,1e-05,Inf,1e-05,Inf,Inf,Inf,37.5182,4.85631,41.7245
93,0.999,3,Inf,1e-05,1e-05,Inf,Inf,Inf,7.90818,42.9451,36.2352
94,0.999,4,1e-05,1e-05,Inf,Inf,Inf,Inf,43.4383,36.8191,7.64112
95,0.999,5,Inf,Inf,Inf,Inf,Inf,Inf,7.6553,4.96992,7.93876
96,0.999,6,Inf,Inf,Inf,1e-05,1e-05,1e-05,37.4433,4.85657,41.6478
