n,distancia,Raf,IA_T2F,IB_T2F,IC_T2F,IA_TRIF,IB_TRIF,IC_TRIF
74,10,375,15.39284,13.52934,28.89941,16.79132,0.2652708,0.2410635
75,10,380,15.28656,13.53258,28.7934,16.57696,0.2652751,0.2410677
76,10,385,15.18172,13.53579,28.68861,16.36799,0.2652792,0.2410718
77,10,390,15.07829,13.53895,28.58501,16.16421,0.2652832,0.2410759
78,10,395,14.97625,13.54206,28.48259,15.96544,0.2652871,0.2410798
79,10,400,14.87558,13.54514,28.38133,15.7715,0.265291,0.2410836
80,10,405,14.77626,13.54819,28.28121,15.5822,0.2652947,0.2410873
81,10,410,14.67827,13.55119,28.18221,15.39739,0.2652984,0.2410909
82,10,415,14.58159,13.55415,28.08431,15.2169,0.265302,0.2410944
83,10,420,14.48621,13.55708,27.98751,15.04059,0.2653055,0.2410979
84,10,425,14.3921,13.55997,27.89177,14.86832,0.265309,0.2411013
85,10,430,14.29924,13.56283,27.7971,14.69994,0.2653123,0.2411046
86,10,435,14.20762,13.56565,27.70345,14.53532,0.2653156,0.2411078
87,10,440,14.11722,13.56843,27.61084,14.37435,0.2653189,0.2411109
88,10,445,14.02802,13.57118,27.51923,14.2169,0.265322,0.241114
89,10,450,13.94001,13.5739,27.42861,14.06286,0.2653251,0.241117
90,10,455,13.85317,13.57659,27.33896,13.91211,0.2653281,0.2411199
91,10,460,13.76748,13.57924,27.25029,13.76456,0.2653311,0.2411228
92,10,465,13.68292,13.58186,27.16255,13.6201,0.265334,0.2411256
93,10,470,13.59949,13.58446,27.07576,13.47864,0.2653369,0.2411284
94,10,475,13.51716,13.58702,26.98988,13.34008,0.2653397,0.2411311
95,10,480,13.43593,13.58955,26.90491,13.20434,0.2653424,0.2411337
96,10,485,13.35577,13.59205,26.82083,13.07133,0.2653451,0.2411363
97,10,490,13.27667,13.59452,26.73763,12.94096,0.2653478,0.2411388
98,10,495,13.19861,13.59696,26.6553,12.81317,0.2653504,0.2411413
99,10,500,13.12159,13.59938,26.57382,12.68788,0.2653529,0.2411438
100,10,505,13.04559,13.60177,26.49319,12.56501,0.2653554,0.2411461
101,10,510,12.9706,13.60413,26.41339,12.44449,0.2653578,0.2411485
102,10,515,12.89659,13.60646,26.3344,12.32626,0.2653602,0.2411508
103,10,520,12.82357,13.60877,26.25622,12.21025,0.2653626,0.241153
104,10,525,12.75151,13.61105,26.17884,12.0964,0.2653649,0.2411552
105,10,530,12.6804,13.61331,26.10224,11.98465,0.2653672,0.2411574
106,10,535,12.61023,13.61554,26.02641,11.87495,0.2653695,0.2411595
107,10,540,12.54099,13.61775,25.95135,11.76723,0.2653717,0.2411616
108,10,545,12.47267,13.61993,25.87704,11.66145,0.2653738,0.2411637
109,10,550,12.40526,13.62209,25.80346,11.55755,0.2653759,0.2411657
110,10,555,12.33873,13.62422,25.73062,11.45548,0.265378,0.2411676
111,10,560,12.27309,13.62634,25.6585,11.35519,0.2653801,0.2411696
112,10,565,12.20832,13.62843,25.58709,11.25665,0.2653821,0.2411715
113,10,570,12.1444,13.63049,25.51638,11.1598,0.2653841,0.2411734
114,10,575,12.08134,13.63254,25.44636,11.06459,0.2653861,0.2411752
115,10,580,12.01911,13.63456,25.37702,10.971,0.265388,0.241177
116,10,585,11.95771,13.63656,25.30836,10.87897,0.2653899,0.2411788
117,10,590,11.89712,13.63854,25.24036,10.78848,0.2653917,0.2411805
118,10,595,11.83734,13.6405,25.17301,10.69947,0.2653936,0.2411823
119,10,600,11.77836,13.64244,25.10631,10.61192,0.2653954,0.2411839
120,10,605,11.72016,13.64436,25.04025,10.52579,0.2653972,0.2411856
121,10,610,11.66274,13.64626,24.97481,10.44104,0.2653989,0.2411872
122,10,615,11.60609,13.64814,24.91,10.35764,0.2654006,0.2411888
123,10,620,11.55019,13.65,24.8458,10.27557,0.2654023,0.2411904
124,10,625,11.49504,13.65184,24.7822,10.19478,0.265404,0.241192
125,10,630,11.44063,13.65367,24.7192,10.11525,0.2654056,0.2411935
126,10,635,11.38695,13.65547,24.65679,10.03696,0.2654073,0.241195
127,10,640,11.33399,13.65726,24.59495,9.959858,0.2654089,0.2411965
128,10,645,11.28174,13.65903,24.53369,9.883934,0.2654104,0.241198
129,10,650,11.23019,13.66078,24.473,9.809157,0.265412,0.2411994
130,10,655,11.17934,13.66251,24.41287,9.735502,0.2654135,0.2412008
131,10,660,11.12918,13.66423,24.35328,9.662943,0.265415,0.2412022
132,10,665,11.07969,13.66593,24.29424,9.591456,0.2654165,0.2412036
133,10,670,11.03087,13.66761,24.23574,9.521017,0.265418,0.2412049
134,10,675,10.98271,13.66928,24.17777,9.451604,0.2654194,0.2412063
135,10,680,10.93521,13.67093,24.12032,9.383194,0.2654208,0.2412076
136,10,685,10.88835,13.67256,24.06339,9.315767,0.2654222,0.2412089
137,10,690,10.84214,13.67418,24.00697,9.2493,0.2654236,0.2412102
138,10,695,10.79655,13.67579,23.95106,9.183773,0.265425,0.2412114
139,10,700,10.75158,13.67737,23.89564,9.119167,0.2654263,0.2412127
140,10,705,10.70723,13.67895,23.84072,9.055462,0.2654277,0.2412139
141,10,710,10.66349,13.68051,23.78628,8.99264,0.265429,0.2412151
142,10,715,10.62035,13.68205,23.73232,8.930682,0.2654303,0.2412163
143,10,720,10.5778,13.68358,23.67884,8.869572,0.2654316,0.2412174
144,10,725,10.53584,13.68509,23.62582,8.80929,0.2654328,0.2412186
145,10,730,10.49445,13.68659,23.57327,8.749821,0.2654341,0.2412197
146,10,735,10.45364,13.68808,23.52117,8.691149,0.2654353,0.2412209
147,10,740,10.4134,13.68955,23.46953,8.633257,0.2654365,0.241222
148,10,745,10.37372,13.69101,23.41833,8.57613,0.2654377,0.2412231
149,10,750,10.33458,13.69246,23.36757,8.519753,0.2654389,0.2412241
150,10,755,10.296,13.69389,23.31724,8.464112,0.26544,0.2412252
151,10,760,10.25795,13.69531,23.26735,8.409191,0.2654412,0.2412263
152,10,765,10.22044,13.69672,23.21788,8.354978,0.2654423,0.2412273
153,10,770,10.18346,13.69812,23.16883,8.301458,0.2654434,0.2412283
154,10,775,10.14699,13.6995,23.1202,8.248618,0.2654446,0.2412293
155,10,780,10.11104,13.70087,23.07197,8.196446,0.2654457,0.2412303
156,10,785,10.0756,13.70223,23.02415,8.144929,0.2654467,0.2412313
157,10,790,10.04066,13.70357,22.97673,8.094054,0.2654478,0.2412323
158,10,795,10.00622,13.70491,22.92971,8.043811,0.2654489,0.2412333
159,10,800,9.97227,13.70623,22.88308,7.994186,0.2654499,0.2412342
160,10,805,9.938804,13.70754,22.83684,7.945169,0.2654509,0.2412351
161,10,810,9.905819,13.70884,22.79097,7.896748,0.265452,0.2412361
162,10,815,9.873307,13.71013,22.74549,7.848913,0.265453,0.241237
163,10,820,9.841263,13.7114,22.70038,7.801654,0.265454,0.2412379
164,10,825,9.809683,13.71267,22.65563,7.754959,0.2654549,0.2412388
165,10,830,9.77856,13.71392,22.61126,7.708819,0.2654559,0.2412397
166,10,835,9.747889,13.71517,22.56724,7.663225,0.2654569,0.2412405
167,10,840,9.717664,13.7164,22.52358,7.618165,0.2654578,0.2412414
168,10,845,9.687882,13.71762,22.48027,7.573632,0.2654588,0.2412422
169,10,850,9.658535,13.71884,22.43732,7.529615,0.2654597,0.2412431
170,10,855,9.62962,13.72004,22.3947,7.486107,0.2654606,0.2412439
171,10,860,9.601131,13.72123,22.35243,7.443098,0.2654615,0.2412447
172,10,865,9.573064,13.72242,22.31049,7.400579,0.2654624,0.2412455
173,10,870,9.545412,13.72359,22.26889,7.358543,0.2654633,0.2412463
174,10,875,9.518172,13.72475,22.22762,7.316981,0.2654642,0.2412471
175,10,880,9.491339,13.72591,22.18667,7.275885,0.265465,0.2412479
176,10,885,9.464907,13.72705,22.14605,7.235248,0.2654659,0.2412487
177,10,890,9.438872,13.72818,22.10575,7.195061,0.2654668,0.2412495
178,10,895,9.41323,13.72931,22.06576,7.155318,0.2654676,0.2412502
179,10,900,9.387976,13.73043,22.02608,7.11601,0.2654684,0.241251
180,10,905,9.363104,13.73153,21.98671,7.077132,0.2654692,0.2412517
181,10,910,9.338611,13.73263,21.94765,7.038676,0.2654701,0.2412524
182,10,915,9.314493,13.73372,21.90888,7.000634,0.2654709,0.2412532
183,10,920,9.290744,13.7348,21.87042,6.963001,0.2654717,0.2412539
184,10,925,9.267361,13.73587,21.83225,6.92577,0.2654725,0.2412546
185,10,930,9.244339,13.73694,21.79438,6.888935,0.2654732,0.2412553
186,10,935,9.221674,13.73799,21.75679,6.852488,0.265474,0.241256
187,10,940,9.199361,13.73904,21.71949,6.816425,0.2654748,0.2412567
188,10,945,9.177397,13.74008,21.68248,6.780739,0.2654755,0.2412574
189,10,950,9.155777,13.74111,21.64574,6.745424,0.2654763,0.241258
190,10,955,9.134497,13.74213,21.60928,6.710475,0.265477,0.2412587
191,10,960,9.113554,13.74315,21.5731,6.675885,0.2654778,0.2412594
192,10,965,9.092943,13.74415,21.53718,6.64165,0.2654785,0.24126
193,10,970,9.07266,13.74515,21.50154,6.607763,0.2654792,0.2412606
194,10,975,9.052701,13.74615,21.46616,6.57422,0.2654799,0.2412613
195,10,980,9.033062,13.74713,21.43104,6.541016,0.2654806,0.2412619
196,10,985,9.013741,13.74811,21.39618,6.508144,0.2654813,0.2412625
197,10,990,8.994732,13.74907,21.36158,6.475601,0.265482,0.2412632
198,10,995,8.976032,13.75004,21.32724,6.443382,0.2654827,0.2412638
199,10,1000,8.957638,13.75099,21.29315,6.411481,0.2654834,0.2412644
200,10,1005,8.9395453,13.751937,21.259305,6.3798936,0.26548404,0.24126498
201,10,1010,8.9217508,13.752877,21.22571,6.3486159,0.26548471,0.24126558
202,10,1015,8.9042508,13.75381,21.19236,6.3176429,0.26548537,0.24126616
203,10,1020,8.8870418,13.754736,21.159251,6.2869703,0.26548602,0.24126675
204,10,1025,8.8701203,13.755655,21.126382,6.2565937,0.26548667,0.24126732
