n,Raf,IA_T2F,IB_T2F,IC_T2F,IA_TRIF,IB_TRIF,IC_TRIF
1,1,65.1734,8.76649e-06,65.1734,71.7779,1.65496,1.36686
2,2,64.8779,8.76487e-06,64.8779,71.1534,1.65364,1.36751
3,3,64.5844,8.76328e-06,64.5844,70.5365,1.65234,1.36815
4,4,64.2927,8.76169e-06,64.2927,69.9271,1.65107,1.36879
5,5,64.0028,8.76013e-06,64.0028,69.3252,1.64984,1.36943
6,6,63.7148,8.75858e-06,63.7148,68.7309,1.64863,1.37007
7,7,63.4287,8.75705e-06,63.4287,68.1439,1.64744,1.37069
8,8,63.1444,8.75553e-06,63.1444,67.5643,1.64629,1.37132
9,9,62.8619,8.75403e-06,62.8619,66.9921,1.64516,1.37194
10,10,62.5812,8.75255e-06,62.5812,66.427,1.64406,1.37255
11,11,62.3024,8.75108e-06,62.3024,65.8692,1.64298,1.37317
12,12,62.0253,8.74963e-06,62.0253,65.3185,1.64193,1.37377
13,13,61.7501,8.74819e-06,61.7501,64.7748,1.6409,1.37437
14,14,61.4767,8.74677e-06,61.4767,64.2381,1.6399,1.37497
15,15,61.2051,8.74536e-06,61.2051,63.7083,1.63891,1.37556
16,16,60.9353,8.74397e-06,60.9353,63.1854,1.63795,1.37614
17,17,60.6672,8.7426e-06,60.6672,62.6692,1.63702,1.37672
18,18,60.4009,8.74124e-06,60.4009,62.1596,1.6361,1.37729
19,19,60.1364,8.73989e-06,60.1364,61.6567,1.63521,1.37786
20,20,59.8736,8.73856e-06,59.8736,61.1602,1.63433,1.37842
21,21,59.6126,8.73724e-06,59.6126,60.6702,1.63348,1.37898
22,22,59.3533,8.73594e-06,59.3533,60.1866,1.63264,1.37953
23,23,59.0958,8.73465e-06,59.0958,59.7092,1.63183,1.38007
24,24,58.8399,8.73337e-06,58.8399,59.2379,1.63103,1.38061
25,25,58.5858,8.73211e-06,58.5858,58.7728,1.63025,1.38114
26,26,58.3334,8.73086e-06,58.3334,58.3137,1.62949,1.38167
27,27,58.0826,8.72963e-06,58.0826,57.8605,1.62875,1.38219
28,28,57.8336,8.72841e-06,57.8336,57.4132,1.62802,1.38271
29,29,57.5862,8.7272e-06,57.5862,56.9716,1.62731,1.38322
30,30,57.3405,8.726e-06,57.3405,56.5357,1.62661,1.38372
31,31,57.0964,8.72482e-06,57.0964,56.1054,1.62593,1.38422
32,32,56.854,8.72365e-06,56.854,55.6807,1.62527,1.38472
33,33,56.6132,8.72249e-06,56.6132,55.2613,1.62462,1.3852
34,34,56.374,8.72135e-06,56.374,54.8474,1.62398,1.38569
35,35,56.1365,8.72021e-06,56.1365,54.4387,1.62336,1.38616
36,36,55.9005,8.71909e-06,55.9005,54.0352,1.62275,1.38663
37,37,55.6662,8.71799e-06,55.6662,53.6368,1.62216,1.3871
38,38,55.4334,8.71689e-06,55.4334,53.2435,1.62158,1.38756
