n,distancia,Raf,IA_T2F,IB_T2F,IC_T2F,IA_TRIF,IB_TRIF,IC_TRIF
1,10,5,20.36371,35.87142,55.93117,327.6242,0.2675556,0.2325316
2,10,10,20.02237,35.58346,55.30794,268.4598,0.2656945,0.2344199
3,10,15,19.68818,35.30107,54.69739,225.7829,0.2648016,0.2357354
4,10,20,19.36096,35.02412,54.09921,194.1118,0.2643703,0.236674
5,10,25,19.04052,34.75248,53.51307,169.8934,0.2641687,0.2373657
6,10,30,18.72667,34.48601,52.93866,150.8692,0.264086,0.2378915
7,10,35,18.41923,34.2246,52.37567,135.5755,0.2640669,0.2383021
8,10,40,18.11805,33.96811,51.82381,123.0369,0.2640821,0.2386302
9,10,45,17.82294,33.71643,51.2828,112.5835,0.2641157,0.2388977
10,10,50,17.53375,33.46945,50.75235,103.7427,0.2641588,0.2391195
11,10,55,17.2503,33.227,50.2322,96.1727,0.264206,0.239306
12,10,60,16.9725,32.9891,49.7221,89.6209,0.264255,0.239465
13,10,65,16.7001,32.7555,49.2217,83.8967,0.264304,0.239602
14,10,70,16.4331,32.5262,48.7309,78.8538,0.264351,0.239721
15,10,75,16.1713,32.301,48.2494,74.3784,0.264397,0.239826
16,10,80,15.9145,32.0799,47.7769,70.3804,0.26444,0.239918
17,10,85,15.6626,31.8627,47.3133,66.7877,0.264482,0.24
18,10,90,15.4155,31.6494,46.8583,63.542,0.264521,0.240074
19,10,95,15.1731,31.4398,46.4116,60.5956,0.264558,0.24014
20,10,100,14.9353,31.234,45.9732,57.909,0.264593,0.2402
21,10,105,14.70184,31.03168,45.5427,55.44955,0.2646259,0.2402549
22,10,110,14.47277,30.83291,45.12002,53.18967,0.2646571,0.2403047
23,10,115,14.24791,30.63756,44.70495,51.1061,0.2646866,0.2403504
24,10,120,14.02718,30.44556,44.29729,49.17905,0.2647145,0.2403924
25,10,125,13.81047,30.25682,43.89687,47.39157,0.264741,0.2404311
26,10,130,13.59768,30.07127,43.50351,45.72908,0.264766,0.240467
27,10,135,13.38872,29.88884,43.11705,44.17893,0.2647897,0.2405003
28,10,140,13.1835,29.70945,42.73731,42.73013,0.2648122,0.2405313
29,10,145,12.98193,29.53304,42.36415,41.3731,0.2648336,0.2405601
30,10,150,12.78391,29.35953,41.9974,40.09939,0.2648539,0.2405872
31,10,155,12.58938,29.18887,41.63692,38.90157,0.2648733,0.2406125
32,10,160,12.39824,29.02098,41.28255,37.77307,0.2648917,0.2406363
33,10,165,12.21042,28.85581,40.93417,36.70806,0.2649093,0.2406586
34,10,170,12.02584,28.69329,40.59163,35.70132,0.2649261,0.2406797
35,10,175,11.84443,28.53337,40.25479,34.74822,0.2649422,0.2406996
36,10,180,11.66612,28.37599,39.92353,33.84459,0.2649575,0.2407184
37,10,185,11.49083,28.22109,39.59772,32.98666,0.2649722,0.2407362
38,10,190,11.31851,28.06861,39.27723,32.17108,0.2649863,0.2407531
39,10,195,11.14907,27.91851,38.96196,31.39478,0.2649998,0.2407691
40,10,200,10.98247,27.77073,38.65177,30.65499,0.2650127,0.2407843
41,10,205,10.81864,27.62522,38.34657,29.94921,0.2650251,0.2407989
42,10,210,10.65751,27.48194,38.04623,29.27514,0.2650371,0.2408127
43,10,215,10.49904,27.34083,37.75066,28.63069,0.2650485,0.2408259
44,10,220,10.34316,27.20185,37.45974,28.01396,0.2650596,0.2408385
45,10,225,10.18982,27.06496,37.17338,27.42319,0.2650702,0.2408505
46,10,230,10.03897,26.9301,36.89148,26.85679,0.2650805,0.2408621
47,10,235,9.890548,26.79725,36.61394,26.31328,0.2650904,0.2408731
48,10,240,9.744513,26.66635,36.34067,25.79129,0.2650999,0.2408837
49,10,245,9.600815,26.53736,36.07159,25.28958,0.2651091,0.2408939
50,10,250,9.459405,26.41026,35.80659,24.80699,0.265118,0.2409036
51,10,255,9.320239,26.28499,35.5456,24.34244,0.2651266,0.240913
52,10,260,9.18327,26.16152,35.28853,23.89495,0.2651349,0.240922
53,10,265,9.048456,26.03981,35.0353,23.46359,0.2651429,0.2409307
54,10,270,8.915755,25.91983,34.78583,23.0475,0.2651507,0.2409391
55,10,275,8.785127,25.80154,34.54005,22.6459,0.2651582,0.2409471
56,10,280,8.65653,25.68492,34.29787,22.25803,0.2651655,0.2409549
57,10,285,8.529928,25.56992,34.05924,21.8832,0.2651726,0.2409624
58,10,290,8.405281,25.45651,33.82406,21.52078,0.2651795,0.2409697
59,10,295,8.282555,25.34466,33.59228,21.17014,0.2651861,0.2409767
60,10,300,8.161714,25.23435,33.36383,20.83074,0.2651926,0.2409835
61,10,305,8.042723,25.12554,33.13864,20.50203,0.2651988,0.24099
62,10,310,7.925549,25.0182,32.91664,20.18351,0.2652049,0.2409964
63,10,315,7.81016,24.91231,32.69778,19.87473,0.2652109,0.2410025
64,10,320,7.696524,24.80784,32.48199,19.57525,0.2652166,0.2410085
65,10,325,7.584612,24.70475,32.26922,19.28464,0.2652222,0.2410142
66,10,330,7.474392,24.60303,32.0594,19.00252,0.2652277,0.2410198
67,10,335,7.365838,24.50264,31.85247,18.72853,0.265233,0.2410253
68,10,340,7.258919,24.40357,31.64839,18.46232,0.2652382,0.2410305
69,10,345,7.153611,24.30579,31.4471,18.20356,0.2652432,0.2410356
70,10,350,7.049885,24.20927,31.24855,17.95194,0.2652481,0.2410406
71,10,355,6.947717,24.11399,31.05268,17.70717,0.2652529,0.2410455
72,10,360,6.847082,24.01993,30.85944,17.46898,0.2652575,0.2410502
73,10,365,6.747955,23.92706,30.66879,17.23711,0.2652621,0.2410547
