n,Raf,IA_T2F,IB_T2F,IC_T2F,IA_TRIF,IB_TRIF,IC_TRIF
1,10,62.5812,8.75255e-06,62.5812,66.427,1.64406,1.37255
2,20,59.8736,8.73856e-06,59.8736,61.1602,1.63433,1.37842
3,30,57.3405,8.726e-06,57.3405,56.5357,1.62661,1.38372
4,40,54.9725,8.71473e-06,54.9725,52.4717,1.62045,1.38846
5,50,52.7596,8.70461e-06,52.7596,48.8904,1.61551,1.39267
6,60,50.6911,8.69551e-06,50.6911,45.7225,1.61152,1.39642
7,70,48.7568,8.68732e-06,48.7568,42.9083,1.60826,1.39974
8,80,46.9465,8.67992e-06,46.9465,40.3969,1.6056,1.40271
9,90,45.2507,8.64212e-06,45.2507,38.1458,1.60339,1.40536
10,100,43.6607,8.6672e-06,43.6607,36.1191,1.60156,1.40774
11,110,42.16817,8.661711e-06,42.16817,34.28669,1.600022,1.409877
12,120,40.76544,8.656723e-06,40.76544,32.62338,1.598729,1.411812
13,130,39.44556,8.652223e-06,39.44556,31.1078,1.597635,1.413567
14,140,38.20211,8.648029e-06,38.20211,29.72189,1.596703,1.415165
15,150,37.02924,8.615142e-06,37.02924,28.45028,1.595907,1.416623
16,160,35.9216,8.640754e-06,35.92159,27.27987,1.595223,1.41796
17,170,34.8743,8.624355e-06,34.87429,26.19939,1.594634,1.419188
18,180,33.88288,8.634618e-06,33.88288,25.19914,1.594124,1.42032
19,190,32.94329,8.631908e-06,32.94328,24.27074,1.593681,1.421366
20,200,32.05179,8.629404e-06,32.05179,23.4069,1.593296,1.422335
21,210,31.205,8.633848e-06,31.205,22.60125,1.59296,1.423235
22,220,30.39981,8.624941e-06,30.39981,21.84824,1.592665,1.424073
23,230,29.63338,8.625985e-06,29.63338,21.14296,1.592407,1.424855
24,240,28.90311,8.621096e-06,28.90311,20.48111,1.59218,1.425586
25,250,28.2066,8.624732e-06,28.2066,19.85886,1.59198,1.426271
26,260,27.54166,8.617762e-06,27.54166,19.27282,1.591804,1.426915
27,270,26.90628,8.604355e-06,26.90628,18.71997,1.591649,1.427519
28,280,26.2986,8.610206e-06,26.2986,18.19761,1.591512,1.428089
29,290,25.71691,8.609722e-06,25.71691,17.70332,1.59139,1.428626
30,300,25.15964,8.612305e-06,25.15963,17.23494,1.591283,1.429134
31,310,24.62531,8.608816e-06,24.62531,16.79051,1.591188,1.429614
32,320,24.1126,8.610058e-06,24.1126,16.36825,1.591104,1.43007
33,330,23.62025,8.595701e-06,23.62024,15.96658,1.59103,1.430502
34,340,23.1471,8.608068e-06,23.14709,15.58404,1.590964,1.430912
35,350,22.69208,8.613306e-06,22.69207,15.21932,1.590906,1.431302
36,360,22.25419,8.606298e-06,22.25419,14.87121,1.590855,1.431674
37,370,21.83251,8.605486e-06,21.83251,14.53862,1.590809,1.432028
38,380,21.42618,8.604717e-06,21.42618,14.22055,1.59077,1.432367
39,390,21.03439,8.599953e-06,21.03439,13.91607,1.590735,1.43269
40,400,20.65639,8.603299e-06,20.65638,13.62434,1.590705,1.432999
41,410,20.29147,8.599425e-06,20.29147,13.3446,1.590678,1.433295
42,420,19.93899,8.602023e-06,19.93899,13.07612,1.590655,1.433578
43,430,19.59833,8.601433e-06,19.59833,12.81824,1.590636,1.43385
44,440,19.26892,8.598703e-06,19.26892,12.57036,1.590619,1.43411
45,450,18.95022,8.600336e-06,18.95021,12.33191,1.590605,1.434361
46,460,18.64172,8.599827e-06,18.64171,12.10237,1.590593,1.434602
47,470,18.34294,8.595326e-06,18.34294,11.88126,1.590583,1.434833
48,480,18.05346,8.598878e-06,18.05345,11.66813,1.590575,1.435056
49,490,17.77283,8.605702e-06,17.77283,11.46255,1.590569,1.435271
50,500,17.50068,8.594808e-06,17.50067,11.26414,1.590565,1.435477
51,510,17.23662,8.594647e-06,17.23661,11.07254,1.590562,1.435677
52,520,16.9803,8.597094e-06,16.9803,10.88739,1.59056,1.43587
53,530,16.7314,8.596853e-06,16.7314,10.7084,1.590559,1.436056
54,540,16.48961,8.596749e-06,16.4896,10.53525,1.59056,1.436235
55,550,16.25461,8.596159e-06,16.25461,10.36767,1.590561,1.436409
56,560,16.02615,8.595834e-06,16.02614,10.2054,1.590563,1.436577
57,570,15.80394,8.595521e-06,15.80394,10.0482,1.590566,1.43674
58,580,15.58774,8.595221e-06,15.58774,9.895826,1.59057,1.436897
59,590,15.37732,8.594933e-06,15.37731,9.748073,1.590574,1.43705
