n,Raf,IA_T2F,IB_T2F,IC_T2F,IA_TRIF,IB_TRIF,IC_TRIF
60,600,15.17244,8.595819e-06,15.17243,9.604732,1.590579,1.437198
61,610,14.97289,8.59439e-06,14.97289,9.465613,1.590585,1.437341
62,620,14.77847,8.597918e-06,14.77847,9.330534,1.59059,1.43748
63,630,14.58899,8.593887e-06,14.58899,9.199324,1.590597,1.437615
64,640,14.40426,8.59365e-06,14.40426,9.071821,1.590604,1.437747
65,650,14.22411,8.593421e-06,14.2241,8.947873,1.590611,1.437874
66,660,14.04836,8.593201e-06,14.04836,8.827336,1.590618,1.437998
67,670,13.87687,8.592988e-06,13.87687,8.710072,1.590626,1.438118
68,680,13.70948,8.592783e-06,13.70948,8.595953,1.590634,1.438235
69,690,13.54605,8.592585e-06,13.54604,8.484855,1.590642,1.438349
70,700,13.38643,8.590124e-06,13.38643,8.376662,1.59065,1.43846
71,710,13.2305,8.592209e-06,13.2305,8.271263,1.590659,1.438568
72,720,13.07814,8.592031e-06,13.07814,8.168554,1.590667,1.438673
73,730,12.92922,8.591859e-06,12.92921,8.068434,1.590676,1.438775
74,740,12.78363,8.591692e-06,12.78362,7.970808,1.590685,1.438875
75,750,12.64125,8.59153e-06,12.64125,7.875586,1.590694,1.438973
76,760,12.50199,8.591374e-06,12.50199,7.782681,1.590703,1.439067
77,770,12.36574,8.591223e-06,12.36574,7.692012,1.590712,1.43916
78,780,12.23242,8.589581e-06,12.23241,7.603501,1.590721,1.43925
79,790,12.10191,8.590935e-06,12.10191,7.517072,1.590731,1.439339
80,800,11.97415,8.589461e-06,11.97414,7.432655,1.59074,1.439425
81,810,11.84903,8.590664e-06,11.84903,7.350182,1.590749,1.439509
82,820,11.72649,8.591348e-06,11.72649,7.269586,1.590759,1.439591
83,830,11.60644,8.59041e-06,11.60644,7.190807,1.590768,1.439671
84,840,11.48881,8.590288e-06,11.48881,7.113785,1.590777,1.43975
85,850,11.37353,8.59017e-06,11.37352,7.038462,1.590787,1.439827
86,860,11.26052,8.59204e-06,11.26051,6.964785,1.590796,1.439902
87,870,11.14972,8.589944e-06,11.14972,6.892702,1.590805,1.439975
88,880,11.04107,8.589985e-06,11.04107,6.822161,1.590814,1.440047
89,890,10.93451,8.589731e-06,10.93451,6.753116,1.590824,1.440117
90,900,10.82998,8.589874e-06,10.82997,6.68552,1.590833,1.440186
91,910,10.72741,8.58953e-06,10.7274,6.619329,1.590842,1.440253
92,920,10.62676,8.589767e-06,10.62675,6.554502,1.590851,1.440319
93,930,10.52797,8.589339e-06,10.52796,6.490996,1.59086,1.440384
94,940,10.43099,8.588751e-06,10.43098,6.428774,1.590869,1.440447
95,950,10.33577,8.589159e-06,10.33576,6.367797,1.590878,1.440509
96,960,10.24226,8.590463e-06,10.24226,6.30803,1.590887,1.44057
97,970,10.15043,8.588988e-06,10.15043,6.249437,1.590896,1.44063
98,980,10.06022,8.591241e-06,10.06022,6.191986,1.590905,1.440688
99,990,9.971592,8.588826e-06,9.971588,6.135644,1.590914,1.440745
100,1000,9.884505,8.588748e-06,9.884501,6.080381,1.590923,1.440802
