n,distancia,Raf,IA_T2F,IB_T2F,IC_T2F,IA_TRIF,IB_TRIF,IC_TRIF
1,10,5,68.42361,6.24718,74.04853,327.6242,0.2675556,0.2325316
2,10,10,67.30473,6.256534,72.96371,268.4598,0.2656945,0.2344199
3,10,15,66.21504,6.265515,71.90661,225.7829,0.2648016,0.2357354
4,10,20,65.1537,6.27414,70.87644,194.1118,0.2643703,0.236674
5,10,25,64.11985,6.282427,69.87244,169.8934,0.2641687,0.2373657
6,10,30,63.11268,6.29039,68.89386,150.8692,0.264086,0.2378915
7,10,35,62.13138,6.298044,67.93994,135.5755,0.2640669,0.2383021
8,10,40,61.17515,6.305404,67.00996,123.0369,0.2640821,0.2386302
9,10,45,60.24322,6.312484,66.10321,112.5835,0.2641157,0.2388977
10,10,50,59.33485,6.319296,65.21898,103.7427,0.2641588,0.2391195
11,10,55,58.4493,6.32585,64.3566,96.1727,0.264206,0.239306
12,10,60,57.5858,6.33216,63.5154,89.6209,0.264255,0.239465
13,10,65,56.7438,6.33824,62.6947,83.8967,0.264304,0.239602
14,10,70,55.9225,6.3441,61.894,78.8538,0.264351,0.239721
15,10,75,55.1213,6.34975,61.1125,74.3784,0.264397,0.239826
16,10,80,54.3395,6.35519,60.3497,70.3804,0.26444,0.239918
17,10,85,53.5766,6.36044,59.6051,66.7877,0.264482,0.24
18,10,90,52.832,6.3655,58.8781,63.542,0.264521,0.240074
19,10,95,52.1051,6.37039,58.168,60.5956,0.264558,0.24014
20,10,100,51.3953,6.37511,57.4745,57.909,0.264593,0.2402
21,10,105,50.70208,6.379667,56.79706,55.44955,0.2646259,0.2402549
22,10,110,50.025,6.384069,56.13511,53.18967,0.2646571,0.2403047
23,10,115,49.36353,6.388322,55.48821,51.1061,0.2646866,0.2403504
24,10,120,48.71718,6.392434,54.85592,49.17905,0.2647145,0.2403924
25,10,125,48.08549,6.39641,54.23779,47.39157,0.264741,0.2404311
26,10,130,47.46802,6.400256,53.63341,45.72908,0.264766,0.240467
27,10,135,46.86434,6.403978,53.04235,44.17893,0.2647897,0.2405003
28,10,140,46.27403,6.40758,52.46422,42.73013,0.2648122,0.2405313
29,10,145,45.69669,6.411067,51.89865,41.3731,0.2648336,0.2405601
30,10,150,45.13193,6.414445,51.34526,40.09939,0.2648539,0.2405872
31,10,155,44.57939,6.417717,50.80369,38.90157,0.2648733,0.2406125
32,10,160,44.03869,6.420888,50.27361,37.77307,0.2648917,0.2406363
33,10,165,43.50951,6.423961,49.75467,36.70806,0.2649093,0.2406586
34,10,170,42.99149,6.426942,49.24656,35.70132,0.2649261,0.2406797
35,10,175,42.48432,6.429832,48.74897,34.74822,0.2649422,0.2406996
36,10,180,41.98768,6.432637,48.2616,33.84459,0.2649575,0.2407184
37,10,185,41.50127,6.435359,47.78416,32.98666,0.2649722,0.2407362
38,10,190,41.02481,6.438001,47.31637,32.17108,0.2649863,0.2407531
39,10,195,40.55801,6.440566,46.85796,31.39478,0.2649998,0.2407691
40,10,200,40.1006,6.443058,46.40867,30.65499,0.2650127,0.2407843
41,10,205,39.65231,6.445479,45.96824,29.94921,0.2650251,0.2407989
42,10,210,39.21291,6.447831,45.53645,29.27514,0.2650371,0.2408127
43,10,215,38.78213,6.450118,45.11304,28.63069,0.2650485,0.2408259
44,10,220,38.35975,6.452341,44.69779,28.01396,0.2650596,0.2408385
45,10,225,37.94554,6.454503,44.29049,27.42319,0.2650702,0.2408505
46,10,230,37.53927,6.456606,43.89091,26.85679,0.2650805,0.2408621
47,10,235,37.14074,6.458653,43.49886,26.31328,0.2650904,0.2408731
48,10,240,36.74974,6.460645,43.11414,25.79129,0.2650999,0.2408837
49,10,245,36.36607,6.462584,42.73655,25.28958,0.2651091,0.2408939
50,10,250,35.98953,6.464472,42.3659,24.80699,0.265118,0.2409036
51,10,255,35.61995,6.46631,42.00203,24.34244,0.2651266,0.240913
52,10,260,35.25714,6.468101,41.64475,23.89495,0.2651349,0.240922
53,10,265,34.90092,6.469847,41.29389,23.46359,0.2651429,0.2409307
54,10,270,34.55114,6.471547,40.9493,23.0475,0.2651507,0.2409391
55,10,275,34.20762,6.473206,40.61081,22.6459,0.2651582,0.2409471
56,10,280,33.8702,6.474822,40.27827,22.25803,0.2651655,0.2409549
57,10,285,33.53875,6.476399,39.95154,21.8832,0.2651726,0.2409624
58,10,290,33.21309,6.477937,39.63047,21.52078,0.2651795,0.2409697
59,10,295,32.89311,6.479437,39.31492,21.17014,0.2651861,0.2409767
60,10,300,32.57864,6.480901,39.00475,20.83074,0.2651926,0.2409835
61,10,305,32.26957,6.48233,38.69984,20.50203,0.2651988,0.24099
62,10,310,31.96575,6.483725,38.40006,20.18351,0.2652049,0.2409964
63,10,315,31.66707,6.485087,38.10529,19.87473,0.2652109,0.2410025
64,10,320,31.3734,6.486417,37.8154,19.57525,0.2652166,0.2410085
65,10,325,31.08462,6.487716,37.53029,19.28464,0.2652222,0.2410142
66,10,330,30.80061,6.488986,37.24984,19.00252,0.2652277,0.2410198
67,10,335,30.52127,6.490226,36.97394,18.72853,0.265233,0.2410253
68,10,340,30.24649,6.491438,36.70248,18.46232,0.2652382,0.2410305
69,10,345,29.97616,6.492623,36.43538,18.20356,0.2652432,0.2410356
70,10,350,29.71017,6.493782,36.17251,17.95194,0.2652481,0.2410406
71,10,355,29.44844,6.494915,35.9138,17.70717,0.2652529,0.2410455
72,10,360,29.19086,6.496023,35.65913,17.46898,0.2652575,0.2410502
73,10,365,28.93734,6.497107,35.40844,17.23711,0.2652621,0.2410547
74,10,370,28.68779,6.498167,35.16162,17.0113,0.2652665,0.2410592
75,10,375,28.44212,6.499205,34.91859,16.79132,0.2652708,0.2410635
76,10,380,28.20024,6.50022,34.67926,16.57696,0.2652751,0.2410677
77,10,385,27.96208,6.501214,34.44357,16.36799,0.2652792,0.2410718
78,10,390,27.72755,6.502187,34.21142,16.16421,0.2652832,0.2410759
79,10,395,27.49658,6.50314,33.98274,15.96544,0.2652871,0.2410798
80,10,400,27.26908,6.504073,33.75745,15.7715,0.265291,0.2410836
81,10,405,27.04498,6.504987,33.5355,15.5822,0.2652947,0.2410873
82,10,410,26.82421,6.505882,33.31679,15.39739,0.2652984,0.2410909
83,10,415,26.6067,6.506759,33.10127,15.2169,0.265302,0.2410944
84,10,420,26.39239,6.507619,32.88887,15.04059,0.2653055,0.2410979
85,10,425,26.1812,6.508461,32.67952,14.86832,0.265309,0.2411013
86,10,430,25.97307,6.509287,32.47316,14.69994,0.2653123,0.2411046
87,10,435,25.76793,6.510096,32.26973,14.53532,0.2653156,0.2411078
88,10,440,25.56574,6.51089,32.06917,14.37435,0.2653189,0.2411109
89,10,445,25.36642,6.511668,31.87142,14.2169,0.265322,0.241114
90,10,450,25.16992,6.512431,31.67643,14.06286,0.2653251,0.241117
91,10,455,24.97618,6.51318,31.48413,13.91211,0.2653281,0.2411199
92,10,460,24.78515,6.513914,31.29448,13.76456,0.2653311,0.2411228
93,10,465,24.59677,6.514635,31.10743,13.6201,0.265334,0.2411256
94,10,470,24.41099,6.515342,30.92291,13.47864,0.2653369,0.2411284
95,10,475,24.22777,6.516036,30.74089,13.34008,0.2653397,0.2411311
96,10,480,24.04704,6.516717,30.56131,13.20434,0.2653424,0.2411337
97,10,485,23.86877,6.517385,30.38413,13.07133,0.2653451,0.2411363
98,10,490,23.6929,6.518041,30.2093,12.94096,0.2653478,0.2411388
99,10,495,23.51939,6.518686,30.03677,12.81317,0.2653504,0.2411413
100,10,500,23.34819,6.519319,29.86651,12.68788,0.2653529,0.2411438
101,10,505,23.17927,6.51994,29.69846,12.56501,0.2653554,0.2411461
102,10,510,23.01257,6.52055,29.53259,12.44449,0.2653578,0.2411485
103,10,515,22.84806,6.52115,29.36886,12.32626,0.2653602,0.2411508
104,10,520,22.68569,6.521739,29.20723,12.21025,0.2653626,0.241153
105,10,525,22.52543,6.522318,29.04765,12.0964,0.2653649,0.2411552
106,10,530,22.36724,6.522887,28.89009,11.98465,0.2653672,0.2411574
107,10,535,22.21107,6.523446,28.73452,11.87495,0.2653695,0.2411595
108,10,540,22.0569,6.523995,28.58089,11.76723,0.2653717,0.2411616
109,10,545,21.90469,6.524535,28.42917,11.66145,0.2653738,0.2411637
110,10,550,21.75439,6.525066,28.27934,11.55755,0.2653759,0.2411657
111,10,555,21.60599,6.525588,28.13134,11.45548,0.265378,0.2411676
112,10,560,21.45944,6.526102,27.98516,11.35519,0.2653801,0.2411696
113,10,565,21.31471,6.526606,27.84076,11.25665,0.2653821,0.2411715
114,10,570,21.17177,6.527103,27.6981,11.1598,0.2653841,0.2411734
115,10,575,21.03058,6.527591,27.55717,11.06459,0.2653861,0.2411752
116,10,580,20.89113,6.528072,27.41792,10.971,0.265388,0.241177
117,10,585,20.75337,6.528544,27.28033,10.87897,0.2653899,0.2411788
118,10,590,20.61728,6.52901,27.14437,10.78848,0.2653917,0.2411805
119,10,595,20.48283,6.529467,27.01001,10.69947,0.2653936,0.2411823
120,10,600,20.34999,6.529918,26.87722,10.61192,0.2653954,0.2411839
121,10,605,20.21874,6.530361,26.74598,10.52579,0.2653972,0.2411856
122,10,610,20.08904,6.530797,26.61627,10.44104,0.2653989,0.2411872
123,10,615,19.96088,6.531226,26.48805,10.35764,0.2654006,0.2411888
124,10,620,19.83422,6.531649,26.3613,10.27557,0.2654023,0.2411904
125,10,625,19.70905,6.532065,26.236,10.19478,0.265404,0.241192
126,10,630,19.58533,6.532475,26.11212,10.11525,0.2654056,0.2411935
127,10,635,19.46305,6.532879,25.98964,10.03696,0.2654073,0.241195
128,10,640,19.34218,6.533276,25.86854,9.959858,0.2654089,0.2411965
129,10,645,19.22269,6.533668,25.7488,9.883934,0.2654104,0.241198
130,10,650,19.10457,6.534054,25.63038,9.809157,0.265412,0.2411994
131,10,655,18.9878,6.534434,25.51328,9.735502,0.2654135,0.2412008
132,10,660,18.87234,6.534808,25.39746,9.662943,0.265415,0.2412022
133,10,665,18.75819,6.535176,25.28292,9.591456,0.2654165,0.2412036
