n,distancia,Raf,IA_T2F,IB_T2F,IC_T2F,IA_TRIF,IB_TRIF,IC_TRIF
1,10,5,36.32512,46.05274,82.24156,327.6242,0.2675556,0.2325316
2,10,10,35.65823,45.44484,80.96957,268.4598,0.2656945,0.2344199
3,10,15,35.00907,44.85211,79.73042,225.7829,0.2648016,0.2357354
4,10,20,34.3771,44.27414,78.52319,194.1118,0.2643703,0.236674
5,10,25,33.7618,43.71053,77.34693,169.8934,0.2641687,0.2373657
6,10,30,33.16263,43.16089,76.20075,150.8692,0.264086,0.2378915
7,10,35,32.57911,42.62482,75.08374,135.5755,0.2640669,0.2383021
8,10,40,32.01073,42.10194,73.99502,123.0369,0.2640821,0.2386302
9,10,45,31.45702,41.59187,72.93374,112.5835,0.2641157,0.2388977
10,10,50,30.91751,41.09423,71.89905,103.7427,0.2641588,0.2391195
11,10,55,30.3918,40.6087,70.8901,96.1727,0.264206,0.239306
12,10,60,29.8793,40.1348,69.9062,89.6209,0.264255,0.239465
13,10,65,29.3797,39.6723,68.9465,83.8967,0.264304,0.239602
14,10,70,28.8926,39.2209,68.0103,78.8538,0.264351,0.239721
15,10,75,28.4176,38.7801,67.0968,74.3784,0.264397,0.239826
16,10,80,27.9543,38.3497,66.2053,70.3804,0.26444,0.239918
17,10,85,27.5022,37.9294,65.3352,66.7877,0.264482,0.24
18,10,90,27.0612,37.5189,64.4857,63.542,0.264521,0.240074
19,10,95,26.6307,37.1178,63.6563,60.5956,0.264558,0.24014
20,10,100,26.2105,36.726,62.8464,57.909,0.264593,0.2402
21,10,105,25.80027,36.34303,62.05527,55.44955,0.2646259,0.2402549
22,10,110,25.39967,35.96873,61.2824,53.18967,0.2646571,0.2403047
23,10,115,25.0084,35.60282,60.52724,51.1061,0.2646866,0.2403504
24,10,120,24.62617,35.24506,59.78923,49.17905,0.2647145,0.2403924
25,10,125,24.2527,34.89521,59.06787,47.39157,0.264741,0.2404311
26,10,130,23.88774,34.55302,58.36264,45.72908,0.264766,0.240467
27,10,135,23.531,34.21829,57.67307,44.17893,0.2647897,0.2405003
28,10,140,23.18225,33.89078,56.99868,42.73013,0.2648122,0.2405313
29,10,145,22.84124,33.57029,56.33902,41.3731,0.2648336,0.2405601
30,10,150,22.50774,33.25661,55.69366,40.09939,0.2648539,0.2405872
31,10,155,22.18152,32.94956,55.06217,38.90157,0.2648733,0.2406125
32,10,160,21.86237,32.64893,54.44415,37.77307,0.2648917,0.2406363
33,10,165,21.55007,32.35455,53.83921,36.70806,0.2649093,0.2406586
34,10,170,21.24443,32.06623,53.24696,35.70132,0.2649261,0.2406797
35,10,175,20.94525,31.78381,52.66705,34.74822,0.2649422,0.2406996
36,10,180,20.65235,31.50712,52.09911,33.84459,0.2649575,0.2407184
37,10,185,20.36554,31.236,51.54281,32.98666,0.2649722,0.2407362
38,10,190,20.08464,30.9703,50.99782,32.17108,0.2649863,0.2407531
39,10,195,19.80949,30.70986,50.46382,31.39478,0.2649998,0.2407691
40,10,200,19.53994,30.45454,49.94051,30.65499,0.2650127,0.2407843
41,10,205,19.27581,30.2042,49.42758,29.94921,0.2650251,0.2407989
42,10,210,19.01696,29.95871,48.92476,29.27514,0.2650371,0.2408127
43,10,215,18.76324,29.71794,48.43176,28.63069,0.2650485,0.2408259
44,10,220,18.51451,29.48175,47.94831,28.01396,0.2650596,0.2408385
45,10,225,18.27064,29.25003,47.47417,27.42319,0.2650702,0.2408505
46,10,230,18.03149,29.02266,47.00907,26.85679,0.2650805,0.2408621
