n,distancia,Raf,IA_T2F,IB_T2F,IC_T2F,IA_TRIF,IB_TRIF,IC_TRIF
1,10,100,43.8977,7.69508,51.2927,57.909,0.264593,0.2402
2,10,200,34.99607,7.777546,42.64063,30.65499,0.2650127,0.2407843
3,10,300,28.84367,7.826884,36.62302,20.83074,0.2651926,0.2409835
4,10,400,24.38569,7.858766,32.23575,15.7715,0.265291,0.2410836
5,10,500,21.03355,7.880633,28.91388,12.68788,0.2653529,0.2411438
6,10,600,18.43903,7.89635,26.32143,10.61192,0.2653954,0.2411839
7,10,700,16.38481,7.908076,24.24805,9.119167,0.2654263,0.2412127
8,10,800,14.72895,7.917092,22.55609,7.994186,0.2654499,0.2412342
9,10,900,13.37504,7.924201,21.15201,7.11601,0.2654684,0.241251
10,10,1000,12.25536,7.929925,19.97018,6.411481,0.2654834,0.2412644
11,10,1100,11.320986,7.9346151,18.963248,5.8337509,0.26549568,0.24127536
12,10,1200,10.535621,7.938518,18.096276,5.3514348,0.265506,0.2412845
13,10,1300,9.8717591,7.9418087,17.342922,4.9427151,0.26551478,0.24129224
14,10,1400,9.3081291,7.9446153,16.682974,4.5919547,0.26552233,0.24129888
15,10,1500,8.8279876,7.9470333,16.10068,4.2876535,0.2655289,0.24130463
16,10,1600,8.4179485,7.9491356,15.583587,4.0211649,0.26553466,0.24130966
17,10,1700,8.0671612,7.9509778,15.12173,3.7858625,0.26553976,0.2413141
18,10,1800,7.766724,7.952604,14.707039,3.576583,0.26554431,0.24131805
19,10,1900,7.509259,7.9540487,14.33292,3.389243,0.26554838,0.24132158
20,10,2000,7.2885977,7.9553398,13.993929,3.2205712,0.26555205,0.24132476
21,10,2100,7.0995456,7.9564998,13.685537,3.0679156,0.26555538,0.24132764
22,10,2200,6.9377021,7.9575471,13.403946,2.929104,0.26555841,0.24133025
23,10,2300,6.7993221,7.958497,13.145949,2.80234,0.26556118,0.24133264
24,10,2400,6.6812054,7.9593619,12.908822,2.686125,0.26556373,0.24133483
25,10,2500,6.5806096,7.9601526,12.690234,2.5791991,0.26556607,0.24133684
26,10,2600,6.4951788,7.9608779,12.488182,2.4804953,0.26556824,0.2413387
27,10,2700,6.422885,7.9615455,12.300937,2.3891042,0.26557024,0.24134042
28,10,2800,6.3619801,7.9621617,12.126995,2.3042455,0.26557211,0.24134202
29,10,2900,6.3109546,7.9627322,11.965046,2.2252462,0.26557385,0.2413435
30,10,3000,6.2685043,7.9632617,11.813941,2.1515227,0.26557547,0.24134489
31,10,3100,6.2335003,7.9637544,11.672672,2.0825663,0.26557699,0.24134619
32,10,3200,6.2049653,7.9642139,11.540348,2.0179317,0.26557842,0.24134741
33,10,3300,6.1820519,7.9646434,11.41618,1.9572275,0.26557976,0.24134855
34,10,3400,6.1640248,7.9650457,11.299467,1.9001081,0.26558102,0.24134963
35,10,3500,6.1502455,7.9654233,11.189584,1.8462672,0.26558221,0.24135064
36,10,3600,6.1401589,7.9657782,11.085974,1.7954325,0.26558334,0.2413516
37,10,3700,6.133282,7.9661125,10.988134,1.7473611,0.2655844,0.24135251
38,10,3800,6.1291943,7.9664278,10.895616,1.7018354,0.26558541,0.24135337
39,10,3900,6.1275291,7.9667258,10.808013,1.6586601,0.26558637,0.24135418
40,10,4000,6.1279666,7.9670077,10.72496,1.6176596,0.26558728,0.24135496
41,10,4100,6.1302274,7.9672748,10.646124,1.5786751,0.26558815,0.24135569
42,10,4200,6.1340674,7.9675282,10.571205,1.541563,0.26558897,0.2413564
43,10,4300,6.1392731,7.967769,10.499928,1.5061931,0.26558976,0.24135706
44,10,4400,6.1456576,7.967998,10.432045,1.4724468,0.26559051,0.2413577
45,10,4500,6.153057,7.9682161,10.367327,1.4402162,0.26559123,0.24135831
46,10,4600,6.1613278,7.968424,10.305567,1.4094027,0.26559192,0.2413589
47,10,4700,6.1703441,7.9686224,10.246574,1.379916,0.26559258,0.24135946
48,10,4800,6.1799952,7.9688119,10.190173,1.3516733,0.26559321,0.24135999
49,10,4900,6.1901842,7.9689932,10.136202,1.3245988,0.26559381,0.2413605
50,10,5000,6.2008256,7.9691666,10.084513,1.2986224,0.2655944,0.241361
51,10,5100,6.2118445,7.9693328,10.03497,1.2736796,0.26559496,0.24136147
52,10,5200,6.2231751,7.9694922,9.9874463,1.2497111,0.26559549,0.24136193
53,10,5300,6.2347592,7.9696451,9.9418252,1.2266616,0.26559601,0.24136237
54,10,5400,6.246546,7.969792,9.8979987,1.2044804,0.26559651,0.24136279
55,10,5500,6.2584907,7.9699331,9.8558664,1.1831199,0.26559699,0.24136319
56,10,5600,6.2705539,7.9700689,9.8153351,1.1625365,0.26559745,0.24136359
57,10,5700,6.2827009,7.9701996,9.7763184,1.1426893,0.2655979,0.24136396
58,10,5800,6.2949015,7.9703254,9.7387356,1.1235401,0.26559833,0.24136433
59,10,5900,6.307129,7.9704467,9.7025117,1.1050537,0.26559875,0.24136468
60,10,6000,6.3193599,7.9705637,9.6675766,1.0871968,0.26559915,0.24136502
61,10,6100,6.3315739,7.9706767,9.6338649,1.0699386,0.26559954,0.24136535
62,10,6200,6.3437531,7.9707857,9.6013154,1.0532501,0.26559992,0.24136567
63,10,6300,6.3558819,7.970891,9.5698709,1.0371043,0.26560029,0.24136598
64,10,6400,6.3679466,7.9709929,9.5394778,1.0214757,0.26560064,0.24136628
65,10,6500,6.3799356,7.9710914,9.5100858,1.0063405,0.26560099,0.24136657
66,10,6600,6.3918386,7.9711867,9.4816476,0.99167625,0.26560132,0.24136685
67,10,6700,6.4036468,7.971279,9.4541191,0.97746189,0.26560164,0.24136713
68,10,6800,6.4153527,7.9713685,9.4274584,0.96367759,0.26560196,0.24136739
69,10,6900,6.4269499,7.9714551,9.4016264,0.95030466,0.26560226,0.24136765
70,10,7000,6.4384328,7.9715392,9.3765861,0.93732548,0.26560256,0.2413679
71,10,7100,6.449797,7.9716207,9.3523028,0.92472342,0.26560285,0.24136814
72,10,7200,6.4610387,7.9716998,9.3287434,0.91248276,0.26560313,0.24136838
73,10,7300,6.4721546,7.9717767,9.305877,0.90058865,0.2656034,0.24136861
