n,tipoCurto,IA_Sim,IB_Sim,IC_Sim,IA_Calc,IB_Calc,IC_Calc
0.001,1,442.8133,315.376,155.4762,313.1492,223.3222,109.82
0.001,2,164.9212,3.549254,168.4193,118.2964,0.01079277,118.2961
0.001,3,4.398561,170.1868,166.6493,0.01513396,118.3016,118.2909
0.001,4,269.9138,267.0519,3.864945,189.4187,189.4104,0.01195029
0.001,5,3.8512,3.8794,3.865,0.0079673,0.0079673,0.0079671
0.1,1,372.398,271.1367,148.759,263.2812,191.9728,105.0978
0.1,2,153.424,3.56128,156.8981,110.1222,0.01071586,110.1228
0.1,3,4.333959,158.4456,154.9383,0.01469627,110.1275,110.1174
0.1,4,228.007,224.9981,3.86493,159.8265,159.8188,0.01195025
0.1,5,3.8512,3.8794,3.865,0.0079673,0.0079673,0.0079671
0.2,1,313.9978,234.5662,142.4603,221.9535,166.0394,100.6724
0.2,2,143.2807,3.578956,146.7332,102.9136,0.01070837,102.915
0.2,3,4.276348,148.0867,144.6068,0.01431443,102.9191,102.9095
0.2,4,196.7283,193.6173,3.864915,137.7522,137.7449,0.0119502
0.2,5,3.8512,3.8794,3.865,0.0079672,0.0079672,0.0079671
0.3,1,268.3404,206.036,136.609,189.6822,145.8104,96.56361
0.3,2,134.3566,3.599845,137.7897,96.57354,0.01074822,96.5756
0.3,3,4.225204,138.9728,135.5173,0.01398217,96.57916,96.56998
0.3,4,172.8274,169.6424,3.864901,120.8922,120.8852,0.01195016
0.3,5,3.8511,3.8793,3.865,0.0079672,0.0079672,0.007967
0.4,1,232.7733,183.8046,131.1665,164.5722,130.0525,92.74362
0.4,2,126.4484,3.622419,129.8642,90.95671,0.01081915,90.95937
0.4,3,4.179533,130.8963,127.4628,0.01369087,90.96244,90.95364
0.4,4,154.0244,150.7835,3.864886,107.6329,107.6262,0.01195011
0.4,5,3.8511,3.8793,3.865,0.0079671,0.0079671,0.007967
0.5,1,204.7363,166.2234,126.097,144.7986,117.5948,89.18698
0.5,2,119.3949,3.645688,122.7951,85.9479,0.01090988,85.95111
0.5,3,4.138529,123.6925,120.279,0.01343373,85.95375,85.94527
0.5,4,138.8725,135.5878,3.864872,96.95112,96.94454,0.01195007
0.5,5,3.8511,3.8793,3.8649,0.0079671,0.0079671,0.007967
0.6,1,182.2726,152.0494,121.368,128.9695,107.5546,85.87048
0.6,2,113.0666,3.669014,116.4527,81.45482,0.01101263,81.45852
0.6,3,4.10153,117.2294,113.8338,0.01320533,81.46076,81.45258
0.6,4,126.4166,123.0967,3.864857,88.1718,88.16538,0.01195003
0.6,5,3.8511,3.8793,3.8649,0.007967,0.007967,0.007967
0.7,1,163.9724,140.3991,116.9499,116.0839,99.30469,82.77308
0.7,2,107.3587,3.691989,110.732,77.40268,0.01112204,77.40681
0.7,3,4.067992,111.3998,108.0205,0.0130013,77.40871,77.4008
0.7,4,116.0039,112.6552,3.864842,80.83389,80.82761,0.01194998
0.7,5,3.851,3.8792,3.8649,0.007967,0.007967,0.007967
0.8,1,148.8308,130.6505,112.816,105.4293,92.40362,79.87574
0.8,2,102.1851,3.714362,105.5469,73.73032,0.01123444,73.73485
0.8,3,4.037464,106.1161,102.7516,0.0128181,73.73642,73.72876
0.8,4,107.1747,103.8017,3.864828,74.61265,74.60649,0.01194994
0.8,5,3.851,3.8792,3.8649,0.007967,0.007967,0.0079669
0.9,1,136.1258,122.3623,108.9419,96.49437,86.53824,77.16129
0.9,2,97.47513,3.735981,100.8264,70.38728,0.01134731,70.39217
0.9,3,4.009566,101.3057,97.95489,0.01265281,70.39345,70.38601
0.9,4,99.5961,96.2025,3.86481,69.2732,69.2672,0.0119499
0.9,5,3.851,3.8792,3.8649,0.0079669,0.0079669,0.0079669
0.999,1,125.4312,115.2832,105.3411,88.97707,81.53012,74.63892
0.999,2,93.2109,3.75656,96.5527,67.3608,0.0114579,67.366
0.999,3,3.98422,96.9506,93.6121,0.0125044,67.3671,67.3598
0.999,4,93.0834,89.6722,3.8648,64.6852,64.6792,0.0119499
0.999,5,3.851,3.8792,3.8649,0.0079669,0.0079669,0.0079669
