tipoCurto,IA_Sim,IB_Sim,IC_Sim,IA_Calc,IB_Calc,IC_Calc
1,125.7188,115.22,105.5106,88.9069,81.483,74.61423
2,95.2116,0.0162186,95.219,67.3316,0.011459,67.3368
3,0.0176932,95.2204,95.2102,0.012503,67.3378,67.3306
4,91.4089,91.4004,0.0169119,64.6419,64.6359,0.0119499
5,0.011279,0.011279,0.011279,0.0079669,0.0079669,0.0079669
