tipoCurto,Raf,Rbf,Rcf,RaTrif,RbTrif,RcTrif,IA_T2F,IB_T2F,IC_T2F,IA_TRIF,IB_TRIF,IC_TRIF
1,1e-05,1e-05,40,13.33,13.33,13.33,2.7232,2.74314,2.73305,77.9847,80.5062,80.4982
2,1e-05,1000000,40,20,1000000,20,2.723197749,2.743144563,2.733049587,63.74961703,1.989498391,65.4967547
3,1000000,1e-05,40,1000000,20,20,2.723197749,2.743144563,2.733049587,1.763916254,66.37447699,64.83808121
4,20,20,1000000,20,20,1000000,2.723197749,2.743144563,2.733049587,66.28571112,64.69087625,1.754794714
5,1000000,1000000,1000000,1000000,1000000,1000000,2.723197749,2.743144563,2.733049587,1.762639534,1.989508726,1.763187901
