tipoCurto,Raf,Rbf,Rcf,RaTrif,RbTrif,RcTrif,IA_T2F,IB_T2F,IC_T2F,IA_TRIF,IB_TRIF,IC_TRIF
1,1e-05,1e-05,40,13.33,13.33,13.33,67.229,61.5157,59.0686,77.9847,80.5062,80.4982
2,1e-05,1000000,40,20,1000000,20,52.6091602,0.01144210469,52.61645164,63.74961703,1.989498391,65.4967547
3,1000000,1e-05,40,1000000,20,20,0.012502903,52.61724523,52.60837576,1.763916254,66.37447699,64.83808121
4,20,20,1000000,20,20,1000000,51.17623571,51.16838134,0.01195833444,66.28571112,64.69087625,1.754794714
5,1000000,1000000,1000000,1000000,1000000,1000000,0.007975447007,0.007975447527,0.007975487184,1.762639534,1.989508726,1.763187901
