n,tipoCurto,IA_Sim,IB_Sim,IC_Sim,IA_Calc,IB_Calc,IC_Calc
0.001,1,313.5839,222.7358,111.5029,313.1492,223.3222,109.82
0.001,2,119.2527,11.77402,121.3412,118.2964,0.01079277,118.2961
0.001,3,14.50434,124.9041,115.777,0.01513396,118.3016,118.2909
0.001,4,196.2982,187.4513,12.71943,189.4187,189.4104,0.01195029
0.001,5,12.6698,12.7748,12.716,0.00796731,0.00796731,0.0079671
0.1,1,263.6193,191.711,106.6101,263.2812,191.9728,105.0978
0.1,2,110.2664,11.87712,113.1493,110.1222,0.01071586,110.1228
0.1,3,14.13963,116.1489,107.4693,0.01469627,110.1275,110.1174
0.1,4,165.9056,157.6348,12.71933,159.8265,159.8188,0.01195025
0.1,5,12.6697,12.7746,12.7159,0.00796727,0.00796727,0.00796708
0.15,1,241.6928,178.1069,104.2764,241.3966,178.2343,102.8437
0.15,2,106.1912,11.93955,109.4349,106.3988,0.01070494,106.3998
0.15,3,13.97515,112.178,103.7033,0.01449853,106.4042,106.3944
0.15,4,153.7582,145.7245,12.71928,148.0034,147.9959,0.01195022
0.15,5,12.6696,12.7746,12.7159,0.00796725,0.00796725,0.00796707
0.2,1,222.2061,166.0231,102.0296,221.9535,166.0394,100.6724
0.2,2,102.3868,12.0065,105.9676,102.9136,0.01070837,102.915
0.2,3,13.82216,108.4708,100.1884,0.01431443,102.9191,102.9095
0.2,4,143.2262,135.4015,12.71923,137.7522,137.7449,0.0119502
0.2,5,12.6695,12.7745,12.7158,0.00796722,0.00796722,0.00796707
0.25,1,205.0031,155.3576,99.86567,204.7956,155.2839,98.58022
0.25,2,98.82744,12.07659,102.724,99.64489,0.01072353,99.64661
0.25,3,13.67958,105.0021,96.9008,0.01414269,99.65044,99.64106
0.25,4,134.0188,126.3796,12.71918,128.789,128.7819,0.01195018
0.25,5,12.6694,12.7744,12.7158,0.0079672,0.0079672,0.00796706
0.3,1,189.8436,145.9561,97.78087,189.6822,145.8104,96.56361
0.3,2,95.4905,12.1488,99.6835,96.5735,0.0107482,96.5756
0.3,3,13.54644,101.75,93.81956,0.01398217,96.57916,96.56998
0.3,4,125.9087,118.435,12.71913,120.8922,120.8852,0.01195016
0.3,5,12.6694,12.7744,12.7158,0.00796718,0.00796718,0.00796705
0.35,1,176.4707,137.6547,95.77159,176.3555,137.4521,94.61916
0.35,2,92.356,12.2222,96.828,93.6825,0.0107806,93.6849
0.35,3,13.4219,98.6951,90.9262,0.0138319,93.6882,93.6792
0.35,4,118.7158,111.391,12.71908,113.8868,113.8799,0.01195014
0.35,5,12.6693,12.7743,12.7157,0.00796716,0.00796716,0.00796704
0.4,1,164.6422,130.2997,93.83435,164.5722,130.0525,92.74362
0.4,2,89.4064,12.2962,94.1414,90.9567,0.0108191,90.9594
0.4,3,13.3052,95.8203,88.2044,0.0136909,90.9624,90.9536
0.4,4,112.2966,105.1063,12.71903,107.6329,107.6262,0.01195011
0.4,5,12.6692,12.7742,12.7157,0.00796714,0.00796714,0.00796703
0.45,1,154.1417,123.7549,91.96587,154.1157,123.473,90.93388
0.45,2,86.6259,12.3702,91.6093,88.3825,0.0108626,88.3855
0.45,3,13.1956,93.1103,85.6395,0.0135584,88.3883,88.3797
0.45,4,106.5352,99.46712,12.71898,102.0183,102.0116,0.01195009
0.45,5,12.6691,12.7742,12.7157,0.00796711,0.00796711,0.00796702
0.5,1,144.7825,117.9032,90.16299,144.7986,117.5948,89.18698
0.5,2,84.0006,12.4439,89.219,85.9479,0.0109099,85.9511
0.5,3,13.0926,90.5515,83.2186,0.0134337,85.9537,85.9453
0.5,4,101.3374,94.38089,12.71893,96.95112,96.94454,0.01195007
0.5,5,12.6691,12.7741,12.7156,0.00796709,0.00796709,0.00796701
0.55,1,136.4052,112.6453,88.42271,136.4615,112.3168,87.50008
0.55,2,81.518,12.517,86.9591,83.6419,0.0109601,83.6454
0.55,3,12.9956,88.1316,80.9301,0.0133162,83.6478,83.6395
0.55,4,96.6258,89.7716,12.7189,92.3564,92.3499,0.01195
0.55,5,12.669,12.774,12.7156,0.00796707,0.00796707,0.007967
0.6,1,128.875,107.8978,86.74219,128.9695,107.5546,85.87048
0.6,2,79.1668,12.5892,84.8194,81.4548,0.0110126,81.4585
0.6,3,12.9042,85.8399,78.7637,0.0132053,81.4608,81.4526
0.6,4,92.3361,85.5762,12.7188,88.1718,88.1654,0.01195
0.6,5,12.6689,12.774,12.7156,0.00796705,0.00796705,0.00796699
0.65,1,122.0783,103.5906,85.11871,122.2089,103.237,84.29563
0.65,2,76.9369,12.6603,82.7906,79.3777,0.0110668,79.3817
0.65,3,12.8178,83.6665,76.7099,0.0131005,79.3837,79.3757
0.65,4,88.4151,81.7424,12.7188,84.3455,84.3392,0.01195
0.65,5,12.6688,12.7739,12.7155,0.00796702,0.00796703,0.00796698
0.7,1,115.9192,99.66497,83.5497,116.0839,99.30469,82.77308
0.7,2,74.8194,12.7302,80.8645,77.4027,0.011122,77.4068
0.7,3,12.7362,81.6025,74.7604,0.0130013,77.4087,77.4008
0.7,4,84.8177,78.2259,12.7187,80.8339,80.8276,0.01195
0.7,5,12.6688,12.7738,12.7155,0.007967,0.007967,0.00796697
0.75,1,110.3167,96.07173,82.03272,110.5136,95.70758,81.30052
0.75,2,72.8059,12.7988,79.0336,75.5224,0.011178,75.5267
0.75,3,12.659,79.6401,72.9075,0.0129073,75.5285,75.5207
0.75,4,81.506,74.9897,12.7187,77.6001,77.5939,0.01195
0.75,5,12.6687,12.7738,12.7155,0.00796698,0.00796698,0.00796696
0.8,1,105.2021,92.76926,80.56544,105.4293,92.40362,79.87574
0.8,2,70.8891,12.8661,77.2911,73.7303,0.0112344,73.7349
0.8,3,12.5859,77.7718,71.1443,0.0128181,73.7364,73.7288
0.8,4,78.4476,72.0018,12.7186,74.6127,74.6065,0.0119499
0.8,5,12.6686,12.7737,12.7154,0.00796696,0.00796696,0.00796695
0.85,1,100.5169,89.72241,79.14568,100.7728,89.35725,78.49666
0.85,2,69.0622,12.9321,75.6308,72.0204,0.0112909,72.0252
0.85,3,12.5165,75.9912,69.4647,0.0127334,72.0266,72.019
0.85,4,75.6149,69.2352,12.7186,71.8448,71.8386,0.0119499
0.85,5,12.6686,12.7736,12.7154,0.00796694,0.00796694,0.00796694
0.9,1,96.2114,86.9013,77.7713,96.4944,86.5382,77.1613
0.9,2,67.319,12.9966,74.0471,70.3873,0.0113473,70.3922
0.9,3,12.4506,74.2923,67.8628,0.0126528,70.3935,70.386
0.9,4,72.9841,66.6664,12.7185,69.2732,69.2672,0.0119499
0.9,5,12.6685,12.7736,12.7154,0.00796691,0.00796691,0.00796693
0.95,1,92.2429,84.2806,76.4404,92.5513,83.9208,75.8677
0.95,2,65.654,13.0596,72.5349,68.8258,0.0114034,68.8309
0.95,3,12.3881,72.6696,66.3335,0.0125761,68.8321,68.8247
0.95,4,70.5344,64.2754,12.7185,66.8781,66.8721,0.0119499
0.95,5,12.6684,12.7735,12.7153,0.00796689,0.00796689,0.00796692
0.999,1,88.645,81.8855,75.1765,88.9771,81.5301,74.6389
0.999,2,64.0932,13.1201,71.1179,67.3608,0.0114579,67.366
0.999,3,12.3297,71.1485,64.9007,0.0125044,67.3671,67.3598
0.999,4,68.2923,62.0875,12.7184,64.6852,64.6792,0.0119499
0.999,5,12.6683,12.7734,12.7153,0.00796687,0.00796687,0.00796691
